0.27348E-03 0.28019E-06 0.00000E+01 67045310 0 0 43752 0.16018E+09 0.00000E+01 0.27347E-03 0.00000E+01 0.00000E+01 0
1 0.00028692 8.4544e-06 11.786 0.80788 0.00028692
2 0.00027116 2.339e-06 4.8794 0.41427 0.00027116
3 0.00027064 2.3973e-06 7.0865 1.1046 0.00027063
4 0.00027296 2.5055e-06 5.1925 0.3522 0.00027296
5 0.00028021 4.5679e-06 13.041 1.5929 0.00028021
6 0.00027127 1.3457e-06 5.6126 0.48126 0.00027127
7 0.00027176 2.5855e-06 5.382 0.40119 0.00027176
8 0.00027507 2.8487e-06 8.285 1.0628 0.00027507
9 0.00027581 2.1744e-06 8.9191 1.1667 0.00027581
10 0.00027085 2.45e-06 5.117 0.46185 0.00027077
11 0.00027639 3.4504e-06 9.9872 1.513 0.00027638
12 0.00027501 1.8357e-06 7.5518 1.0214 0.00027501
13 0.00027799 8.9088e-06 12.819 1.3433 0.00027797
14 0.0002789 4.312e-06 8.7459 0.81295 0.0002789
15 0.00027233 1.7658e-06 5.1871 0.40177 0.00027232
16 0.00027567 2.7542e-06 5.6519 0.32475 0.00027564
17 0.00027264 2.5062e-06 7.3538 0.90642 0.00027264
18 0.00027307 1.5673e-06 6.4936 0.90714 0.00027306
19 0.00027931 5.7788e-06 8.2758 0.62711 0.0002793
20 0.00027315 3.0101e-06 6.2338 0.41775 0.00027314
21 0.0002718 1.7021e-06 5.0099 0.35112 0.0002718
22 0.00027523 4.8535e-06 9.9755 1.1008 0.00027523
23 0.00027334 2.2277e-06 6.5201 0.69622 0.00027333
24 0.00027573 1.8276e-06 7.4988 0.95395 0.00027573
25 0.00027778 3.9553e-06 8.0547 0.73145 0.00027778
26 0.00027566 2.9158e-06 8.4621 0.89062 0.00027565
27 0.00027809 2.1862e-06 8.8941 1.1466 0.00027808
28 0.00028261 6.2344e-06 12.479 1.536 0.00028261
29 0.00027297 2.5953e-06 7.606 1.1243 0.00027297
30 0.0002747 2.1597e-06 8.895 1.7094 0.0002747
31 0.00026646 5.1089e-06 3.8346 0.12802 0.00026646
32 0.00027035 5.2046e-06 5.445 0.32618 0.00027035
33 0.00026308 1.957e-06 2.9755 0.13569 0.00026307
34 0.00027886 3.912e-06 7.9357 0.80379 0.00027885
35 0.00027679 2.7143e-06 7.8451 0.94528 0.00027679
36 0.00027573 2.2676e-06 9.3042 1.2215 0.00027573
37 0.00027371 2.9235e-06 6.0419 0.40375 0.00027371
38 0.00027148 2.1952e-06 6.4689 0.80025 0.00027148
39 0.00027253 1.5975e-06 6.6319 0.84812 0.00027253
40 0.00027615 8.6814e-06 12.575 1.3424 0.00027614
41 0.00026778 2.3565e-06 4.9779 0.50602 0.00026778
42 0.00026976 1.8124e-06 5.3749 0.64442 0.00026975
43 0.00027268 3.5561e-06 7.3773 0.79026 0.00027268
44 0.00027553 2.9591e-06 8.5918 1.2542 0.00027551
45 0.00027647 2.1777e-06 8.9115 1.6384 0.00027646
46 0.0002728 2.4286e-06 5.036 0.28424 0.0002728
47 0.0002732 2.4618e-06 7.2087 0.90847 0.0002732
48 0.00027656 2.4203e-06 9.9011 1.4012 0.00027654
49 0.00027737 5.18e-06 10.564 1.2427 0.00027737
50 0.00027706 3.3129e-06 9.5659 1.0924 0.00027706
51 0.00027256 1.4447e-06 5.9968 0.55944 0.00027255
52 0.00027239 2.9191e-06 6.0623 0.47766 0.00027238
53 0.00027451 2.5349e-06 7.3876 0.66881 0.00027451
54 0.00027335 1.935e-06 8.0086 1.3166 0.00027333
55 0.00026959 2.6914e-06 5.6473 0.51398 0.00026959
