             1             1
             2            -1
             3             1
             4            -3
             5             1
             6            -5
7.04             1
7.05             1
7.07             1
7.08             1
             8            -7
             9            -1
            10            -1
            11            -3
            12            -3
            13            -5
            14            -5
            15            -7
            16            -7
            17            -1
            18            -1
            19            -3
            20            -3
            21            -5
            22            -5
            23            -7
            24            -7
            25            -1
            26            -1
            27            -3
            28            -3
            29            -5
            30            -5
            31            -7
            32            -7
            33             1
            34           -33
            35             1
            36             1
            37           -36
            38           -35
            39             1
            40           -39
            41           -33
            42           -33
            43           -35
            44           -36
            45           -36
            46           -35
            47           -39
            48           -39
